"Fish","Biomass","Year"
28.6,942.54,1970
34.7,969.77,1971
39.3,999.45,1972
32.4,987.13,1973
31.8,976.31,1974
32.8,944.07,1975
38.4,979.37,1976
33.2,997.86,1977
29.7,994.85,1978
25,936.36,1979
21.8,862.85,1980
20.8,815.67,1981
19.7,756.58,1982
20.8,725.27,1983
21.1,662.65,1984
21.3,625.97,1985
24.3,621.69,1986
27.4,589.83,1987
24.5,548.05,1988
25.2,524.88,1989
25.9,529.41,1990
23,497.37,1991
27.1,476.86,1992
23.4,453.8,1993
18.9,402.7,1994
19.6,365.25,1995
25.3,326.02,1996
22,320.12,1997
21,296.49,1998
23,228.72,1999
