ID,Item,JR,BH
1,Canon PowerShot A3000,129.99,149.99
2,Canon PowerShot A495,99.88,96.95
3,Casio EX-FC150,241.88,241.19
4,Kodak EasyShare C142,74.94,79.59
5,Nikon Coolpix L110,279.95,239.95
6,Nikon Coolpix L22,129.95,129.95
7,Nikon Coolpix S4000,199.95,199.95
8,Samsun AQ100,188.88,181.95
9,Samsun DualView TL220,199.99,249.99
10,Sony DSC-H55 (black),224.88,224.89
11,Sony DSC-S2100,99.88,99.95
12,Olympus FE-4020,114.94,113.99
13,Oympus FE-47,91.94,89.95
14,Olympus Stylus 5010,159.88,151.95
15,Olympus Stylus Tough 3000,229.99,177.99
16,Fujifilm AX200 ,84.88,89.49
17,Fujifilm F80EXR,249.88,234.95
18,Fujifilm JX250,139.88,134.99
19,Panasonic Lumix DMC-F2,99.88,89.99
20,Panasonic Lumix DMC-F3,99.99,99.99
21,Panasonic DMC-FH1,119.99,119.95
22,Panasonic DMC-FH20,157.88,159.99
