"ID","Age","Shelf","Sodiumgram","Proteingram"
1,"adult","bottom",0.007,0.1
2,"children","bottom",0.006666667,0.066666667
3,"children","bottom",0.004666667,0.033333333
4,"children","bottom",0.006969697,0.03030303
5,"adult","bottom",0.007,0.1
6,"children","bottom",0.006,0.033333333
7,"children","bottom",0.006129032,0.032258065
8,"children","bottom",0.00483871,0.032258065
9,"children","bottom",0.001851852,0.074074074
10,"children","middle",0.005517241,0.034482759
11,"children","middle",0.006666667,0.066666667
12,"children","middle",0.0045,0.066666667
13,"children","middle",0.004375,0.03125
14,"children","middle",0.007096774,0.064516129
15,"children","middle",0.007,0.033333333
16,"children","middle",0.006785714,0.107142857
17,"adult","middle",0.004545455,0.090909091
18,"children","middle",0.005,0.09375
19,"children","middle",0.0046875,0.09375
20,"children","middle",0.003833333,0.066666667
21,"children","middle",0.0045,0.066666667
22,"children","middle",0.006666667,0.066666667
23,"children","middle",0.006296296,0.037037037
24,"children","middle",0.007407407,0.037037037
25,"children","middle",0.004375,0.03125
26,"children","middle",0.005333333,0.033333333
27,"children","middle",0.005666667,0.033333333
28,"children","middle",0.004848485,0.060606061
29,"adult","top",0.0022,0.2
30,"children","top",0.007,0.033333333
31,"adult","top",0.0035,0.266666667
32,"adult","top",0.001792453,0.169811321
33,"adult","top",0.0045,0.1
34,"adult","top",0.0028,0.04
35,"adult","top",0.000222222,0.177777778
36,"adult","top",0.001634615,0.25
37,"adult","top",0.0028,0.14
38,"adult","top",0.005818182,0.072727273
39,"adult","top",0.002727273,0.121212121
40,"adult","top",0.0056,0.06
41,"adult","top",0,0.074074074
42,"adult","top",0,0.092592593
43,"adult","top",0.00245283,0.094339623
