"Country","Nest","Snag"
"Guatemala",4.62,6.15
"Guatemala",18.46,24.62
"Guatemala",5.23,6.15
"Guatemala",9.85,12.31
"Guatemala",7.69,9.23
"Guatemala",9.85,15.38
"Guatemala",4,5.85
"Guatemala",10.77,12.31
"Guatemala",13.85,16.92
"Guatemala",10.77,16.92
"Guatemala",24.62,29.23
"Costa Rica",6.9,8.7
"Costa Rica",5.6,7.7
"Costa Rica",4.3,5.2
"Costa Rica",8.3,9.7
"Costa Rica",1.5,1.8
"Costa Rica",6.2,9.6
"Costa Rica",7.4,10.7
"Costa Rica",4.1,7.3
"Costa Rica",10.1,10.8
"Costa Rica",8.4,9.7
