"Name","Country","Short","Free","Total"
"LYSACEK Evan","United States",90.3,167.37,257.67
"PLUSHENKO Evgeni","Russian Federation",90.85,165.51,256.36
"TAKAHASHI Daisuke","Japan",90.25,156.98,247.23
"LAMBIEL Stephane","Switzerland",84.63,162.09,246.72
"CHAN Patrick","Canada",81.12,160.3,241.42
"WEIR Johnny","United States",82.1,156.77,238.87
"ODA Nobunari","Japan",84.85,153.69,238.54
"KOZUKA Takahiko","Japan",79.59,151.6,231.19
"ABBOTT Jeremy","United States",69.4,149.56,218.96
"BREZINA Michal","Czech Republic",78.8,137.93,216.73
"TEN Denis","Kazakhstan",76.24,135.01,211.25
"AMODIO Florent","France",75.35,134.95,210.3
"BORODULIN Artem","Russian Federation",72.24,137.92,210.16
"FERNANDEZ Javier","Spain",68.69,137.99,206.68
"SCHULTHEISS Adrian","Sweden",63.13,137.31,200.44
"JOUBERT Brian","France",68,132.22,200.22
"van der PERREN Kevin","Belgium",72.9,116.94,189.84
"CONTESTI Samuel","Italy",70.6,116.9,187.5
"VERNER Tomas","Czech Republic",65.32,119.42,184.74
"BACCHINI Paolo","Italy",64.42,112.79,177.21
"PFEIFER Viktor","Austria",60.88,115.05,175.93
"LINDEMANN Stefan","Germany",68.5,103.48,171.98
"CHIPEUR Vaughn","Canada",57.22,113.7,170.92
"KOVALEVSKI Anton","Ukraine",63.81,102.09,165.9
