"ID","Survived","Age"
1,1,0.92
2,0,30
3,1,48
4,0,39
5,0,71
6,0,47
7,1,80
8,0,24
9,0,36
10,1,37
11,1,26
12,0,25
13,1,25
14,1,28
15,0,45
16,1,40
17,0,42
18,0,41
19,0,48
20,0,45
21,1,42
22,1,36
23,0,33
24,0,28
25,0,17
26,1,11
27,1,36
28,0,49
29,0,36
30,0,46
31,1,27
32,1,45
33,0,27
34,0,47
35,0,37
36,0,70
37,0,39
38,1,51
39,1,27
40,0,31
41,1,31
42,1,53
43,1,4
44,0,50
45,1,49
46,0,39
47,1,36
48,0,30
49,0,19
50,0,64
51,1,50
52,1,43
53,1,60
54,0,37
55,0,47
56,0,24
57,1,49
58,0,71
59,1,53
60,0,38
61,1,23
62,0,46
63,1,25
64,1,48
65,0,45
66,0,40
67,1,27
68,0,55
69,0,42
70,0,55
71,0,42
72,1,35
73,1,38
74,1,49
75,0,46
76,0,50
77,0,32.5
78,0,58
79,0,41
80,1,42
81,1,35
82,0,42
83,0,29
84,0,30
85,0,30
86,0,19
87,0,46
88,0,54
89,1,36
90,0,28
91,0,65
92,0,44
93,1,30
94,0,55
95,0,47
96,0,37
97,0,58
98,0,64
99,0,65
100,0,28.5
101,0,45.5
102,0,23
103,0,29
104,0,18
105,1,52
106,0,47
107,0,38
108,0,22
109,0,31
110,1,45
111,0,46
112,0,36
113,0,55
114,0,33
115,1,13
116,0,61
117,1,34
118,1,35
119,0,50
120,1,56
121,1,28
122,0,56
123,0,56
124,0,24
125,1,24
126,1,6
127,1,45
128,0,57
129,1,32
130,0,62
131,1,54
132,0,67
133,0,61
134,0,52
135,1,48
136,0,49
137,1,17
138,1,31
139,0,40
140,0,61
141,0,47
142,0,64
143,0,60
144,0,54
145,0,21
146,0,57
147,0,50
148,0,27
149,0,51
150,1,21
151,0,62
152,0,30
153,0,30
154,0,18
155,0,25
156,0,34
157,0,57
158,0,18
159,0,23
160,0,28
161,0,51
162,1,32
163,0,28
164,1,1
165,1,34
166,0,23
167,0,26
168,0,42
169,0,27
170,0,60
171,0,25
172,0,25
173,0,42
174,1,0.83
175,1,26
176,0,19
177,0,54
178,0,52
179,0,37
180,0,29
181,0,29
182,0,28
183,1,24
184,0,31
185,0,21
186,1,8
187,0,18
188,0,32
189,0,17
190,0,29
191,0,25
192,0,18
193,0,54
194,1,8
195,0,42
196,0,23
197,0,21
198,0,18
199,0,40
200,0,18
201,0,36
202,0,35
203,0,38
204,0,34
205,0,16
206,0,26
207,0,47
208,0,21
209,0,21
210,0,24
211,0,24
212,0,34
213,0,30
214,0,52
215,0,30
216,1,0.67
217,0,44
218,0,28
219,1,62
220,0,30
221,0,43
222,0,49
223,0,24
224,0,32
225,0,21
226,0,23
227,0,36
228,0,50
229,0,44
230,0,21
231,1,42
232,0,63
233,0,33
234,0,42
235,0,47
236,0,24
237,0,22
238,0,32
239,0,34
240,0,35
241,0,57
242,0,31
243,0,30
244,0,25
245,0,36
246,0,24
247,0,61
248,0,50
249,1,1
250,0,31
251,0,30
252,0,40
253,0,32
254,0,30
255,0,46
256,1,19
257,0,39
258,0,48
259,0,70
260,0,27
261,0,54
262,0,39
263,0,16
264,0,62
265,0,32.5
266,1,2
267,1,3
268,0,36.5
269,0,26
270,0,19
271,0,28
272,1,20
273,0,39
274,1,22
275,0,23
276,1,29
277,0,28
278,0,19
279,0,41
280,0,43
281,0,34
282,1,30
283,0,27
284,0,36
285,0,34
286,0,23
287,1,0.83
288,1,3
289,0,19
290,0,26
291,0,25
292,0,27
293,0,59
294,0,35
295,0,25
296,0,41
297,0,25
298,0,18.5
299,0,14
300,0,23
301,0,29
302,0,40
303,0,30
304,0,23
305,0,27
306,1,2
307,0,36
308,0,66
309,1,31
310,0,42
311,0,13
312,0,16
313,1,25
314,1,20
315,0,30
316,0,26
317,1,0.83
318,1,26
319,0,26
320,0,20
321,0,24
322,0,25
323,0,35
324,0,18
325,0,32
326,0,4
327,0,39
328,1,27
329,0,26
330,0,20
331,0,26
332,0,25
333,0,24
334,0,35
335,0,5
336,0,9
337,1,3
338,0,13
339,0,40
340,1,23
341,0,21
342,0,23
343,0,30
344,0,23
345,0,20
346,0,32
347,0,40
348,0,26
349,1,20
350,0,22
351,0,19
352,0,26
353,0,22
354,0,20
355,1,32
356,0,21
357,0,18
358,0,26
359,0,6
360,0,40
361,0,21
362,0,29
363,0,22
364,0,22
365,0,35
366,1,21
367,0,19
368,0,18
369,0,38
370,0,17
371,0,17
372,0,21
373,0,21
374,0,28
375,0,24
376,0,28
377,0,24
378,0,21
379,1,32
380,0,29
381,0,26
382,0,18
383,0,20
384,1,18
385,0,24
386,0,36
387,0,24
388,0,31
389,0,31
390,0,70.5
391,0,43
392,0,35
393,0,27
394,0,19
395,0,30
396,1,9
397,1,3
398,0,59
399,0,19
400,0,44
401,0,17
402,0,22.5
403,1,45
404,0,19
405,1,29
406,0,0.33
407,0,34
408,0,27
409,0,25
410,0,24
411,0,22
412,0,21
413,0,17
414,1,36.5
415,1,30
416,0,16
417,1,1
418,0,26
419,0,25
420,0,22
421,0,36
422,0,17
423,0,42
424,0,43
425,0,32
426,1,19
427,0,33
428,0,65
429,1,24
430,0,23
431,0,18
432,0,16
433,0,45
434,0,39
435,0,17
436,0,15
437,0,47
438,0,40.5
439,0,40.5
440,0,18
441,0,26
442,0,18
443,0,16
444,0,25
445,0,22
446,1,9
447,0,33
448,0,41
449,0,38
450,0,9
451,0,1
452,0,11
453,0,14
454,0,40
455,0,51
456,0,32
457,0,20
458,0,37
459,0,28
460,0,19
461,0,28
462,0,20
463,0,23.5
464,0,41
465,0,26
466,0,21
467,0,25
468,0,11
469,1,27
470,0,28
471,0,43
472,0,28
473,0,42
474,0,30
475,1,29
476,1,21
477,0,20
478,0,48
479,0,17
480,0,34
481,1,26
482,0,22
483,0,33
484,0,31
485,0,29
486,1,4
487,0,49
488,0,33
489,0,19
490,0,23
491,1,32
492,0,27
493,1,32
494,0,17
495,0,21
496,0,30
497,1,21
498,0,33
499,0,22
500,1,39
501,0,18.5
502,0,34.5
503,0,44
504,0,26
505,1,29
506,0,18
507,1,25
508,1,26
509,0,29
510,0,29
511,0,22
512,1,22
513,0,32
514,0,34.5
515,0,36
516,0,39
517,0,24
518,0,36
519,1,20
520,0,28
521,0,30
522,0,20.5
523,1,27
524,0,51
525,1,32
526,1,24
527,0,22
528,0,29
529,0,35
530,0,33
531,0,24
532,0,55.5
533,1,21
534,0,24
535,0,21
536,0,28
537,0,25
538,1,6
539,0,34
540,0,18
541,0,22
542,1,20
543,0,33
544,1,12
545,0,28
546,0,21
547,0,41
548,1,39
549,0,21
550,0,28.5
551,0,61
552,0,23
553,1,9
554,0,28
555,0,42
556,0,28
557,1,32
558,0,20
559,0,20
560,0,16
561,0,2
562,0,6
563,0,1
564,0,7
565,0,2
566,0,16
567,0,14
568,0,21
569,0,19
570,0,32
571,0,0.75
572,0,21
573,0,25
574,0,22
575,1,25
576,0,24
577,0,19
578,0,25
579,1,32
580,0,17
581,0,24
582,0,38
583,0,21
584,0,10
585,0,4
586,0,7
587,0,2
588,0,8
589,0,35
590,0,50
591,0,18
592,0,50
593,0,16
594,0,25
595,0,38.5
596,0,14.5
597,0,24
598,0,39
599,1,25
600,0,20
601,0,24.5
602,1,29
603,0,22
604,0,40
605,0,21
606,0,4
607,0,10
608,0,40
609,0,19
610,0,30
611,0,32
612,0,33
613,0,21
614,0,60.5
615,0,19
616,1,31
617,0,27
618,1,16
619,1,44
620,0,25
621,0,74
622,1,14
623,0,24
624,1,25
625,0,34
626,1,0.42
627,0,32
628,0,30.5
629,0,44
630,1,25
631,1,7
632,0,36
633,0,11.5
634,0,40.5
635,0,36
636,0,33
637,0,28
638,0,28
639,0,47
640,0,31
641,0,16
642,1,22
643,0,20
644,0,22
645,0,22
646,0,32.5
647,0,51
648,0,18
649,0,21
650,0,28.5
651,0,21
652,0,27
653,0,36
654,0,27
655,0,45.5
656,0,26.5
657,0,27
658,0,29
